last digit,count,digit_frequency,uniform
0,136,0.10810810810810811,0.1
1,138,0.10969793322734499,0.1
2,122,0.09697933227344992,0.1
3,135,0.10731319554848967,0.1
4,110,0.08744038155802862,0.1
5,136,0.10810810810810811,0.1
6,133,0.10572337042925278,0.1
7,99,0.07869634340222575,0.1
8,114,0.09062003179650238,0.1
9,135,0.10731319554848967,0.1
