last digit,count,digit_frequency,uniform
0,178,0.14149443561208266,0.1
1,125,0.09936406995230525,0.1
2,120,0.09538950715421304,0.1
3,110,0.08744038155802862,0.1
4,116,0.09220985691573927,0.1
5,157,0.12480127186009539,0.1
6,109,0.08664546899841018,0.1
7,115,0.09141494435612083,0.1
8,125,0.09936406995230525,0.1
9,103,0.08187599364069953,0.1
